axis,mean,std
axis_1,1.4446796327734095,1.9918506610738196
axis_2,9.400362685847034,6.300357927210237
axis_3,6.642085471765547,4.402267165518692
axis_4,1.3837913795568264,1.3980917547922707
axis_5,2.247386913867048,2.031047059035054
axis_6,1.1841146023945675,1.559997136445119
axis_7,2.7070282952108653,3.2025414434883617
axis_8,0.16917692369549678,0.27966356863467223
